Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Namibia,NAM,2029,0.362224471
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Nauru,NRU,2029,0.348040197
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Vanuatu,VUT,2029,0.382134126
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,New Zealand,NZL,2029,0.221989948
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Nigeria,NGA,2029,0.38369248
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Pakistan,PAK,2029,0.310999889
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Papua New Guinea,PNG,2029,0.382132036
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Rwanda,RWA,2029,0.325069535
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Saint Kitts and Nevis,KNA,2029,0.209256463
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Saint Lucia,LCA,2029,0.288043195
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Saint Vincent and the Grenadines,VCT,2029,0.287447909
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Seychelles,SYC,2029,0.21213694
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Sierra Leone,SLE,2029,0.362760406
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Singapore,SGP,2029,0.198670396
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,South Africa,ZAF,2029,0.36269976
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Eswatini,SWZ,2029,0.386033926
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Togo,TGO,2029,0.36245816
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Tonga,TON,2029,0.335611644
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Trinidad and Tobago,TTO,2029,0.203100911
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Tuvalu,TUV,2029,0.348866667
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,Uganda,UGA,2029,0.358347098
Service Delivery,Cancer Treatment,dx 9 stage 2,Mean,United Kingdom,GBR,2029,0.143534945
